,compound,x,Temperature,rho,w_mass,w_vol,Viscosity,Kin_viscosity,E
4213,peta,30.302472243878253,28.69999999999999,1.16,9.75,13.681230947887936,108.53000000000002,93.56034482758623,57886.5728098312
4214,peta,30.302472243878253,28.80000000000001,1.16,9.75,13.681230947887936,108.39999999999998,93.44827586206895,57886.5728098312
4215,peta,30.302472243878253,28.899999999999977,1.16,9.75,13.681230947887938,107.06818181818184,92.30015673981194,57886.57280983121
4216,peta,30.302472243878253,29.0,1.16,9.75,13.681230947887936,107.13,92.35344827586206,57886.5728098312
4217,peta,30.302472243878253,29.19999999999999,1.16,9.75,13.681230947887936,104.99999999999997,90.51724137931032,57886.5728098312
4218,peta,30.302472243878253,29.399999999999977,1.16,9.75,13.681230947887935,103.06666666666672,88.85057471264372,57886.5728098312
4219,peta,30.302472243878253,29.5,1.16,9.75,13.681230947887936,102.80000000000001,88.62068965517243,57886.5728098312
4220,peta,30.302472243878253,29.69999999999999,1.16,9.75,13.681230947887935,100.55833333333332,86.6882183908046,57886.5728098312
4221,peta,30.302472243878253,29.80000000000001,1.16,9.75,13.681230947887936,99.975,86.1853448275862,57886.5728098312
4222,peta,30.302472243878253,29.899999999999977,1.16,9.75,13.681230947887936,99.75428571428567,85.99507389162558,57886.5728098312
4223,peta,30.302472243878253,30.0,1.16,9.75,13.681230947887936,98.6246153846154,85.0212201591512,57886.5728098312
4224,peta,30.302472243878253,30.100000000000023,1.16,9.75,13.681230947887936,97.4670886075949,84.02335224792664,57886.5728098312
4225,peta,30.302472243878253,30.19999999999999,1.16,9.75,13.681230947887936,96.23129102844644,82.9580095072814,57886.5728098312
4226,peta,30.302472243878253,30.30000000000001,1.16,9.75,13.681230947887936,95.70000000000006,82.50000000000007,57886.5728098312
4227,peta,30.302472243878253,30.399999999999977,1.16,9.75,13.681230947887936,95.49999999999997,82.32758620689653,57886.5728098312
4228,peta,30.302472243878253,30.5,1.16,9.75,13.681230947887936,94.79444444444445,81.71934865900384,57886.5728098312
4229,peta,30.302472243878253,30.600000000000023,1.16,9.75,13.681230947887935,94.76666666666667,81.69540229885058,57886.5728098312
4230,peta,30.302472243878253,30.69999999999999,1.16,9.75,13.681230947887936,94.3777777777778,81.36015325670499,57886.5728098312
4231,peta,30.302472243878253,30.80000000000001,1.16,9.75,13.681230947887938,93.3,80.43103448275862,57886.57280983121
4232,peta,30.302472243878253,30.899999999999977,1.16,9.75,13.681230947887935,92.99999999999996,80.17241379310343,57886.5728098312
4233,peta,30.302472243878253,31.0,1.16,9.75,13.681230947887936,92.31428571428572,79.58128078817735,57886.5728098312
4234,peta,30.302472243878253,31.100000000000023,1.16,9.75,13.681230947887936,91.52499999999998,78.90086206896551,57886.5728098312
4235,peta,30.302472243878253,31.19999999999999,1.16,9.75,13.681230947887936,90.91951219512195,78.37888982338099,57886.5728098312
4236,peta,30.302472243878253,31.30000000000001,1.16,9.75,13.681230947887936,90.00000000000004,77.58620689655177,57886.5728098312
4237,peta,30.302472243878253,31.399999999999977,1.16,9.75,13.681230947887936,89.99999999999994,77.58620689655169,57886.5728098312
4238,peta,30.302472243878253,31.5,1.16,9.75,13.681230947887936,88.97,76.69827586206895,57886.5728098312
4239,peta,30.302472243878253,31.600000000000023,1.16,9.75,13.681230947887936,88.94666666666669,76.67816091954025,57886.5728098312
4240,peta,30.302472243878253,31.69999999999999,1.16,9.75,13.681230947887935,87.99999999999996,75.86206896551721,57886.5728098312
4241,peta,30.302472243878253,31.80000000000001,1.16,9.75,13.681230947887936,87.55333333333333,75.47701149425288,57886.5728098312
4242,peta,30.302472243878253,31.899999999999977,1.16,9.75,13.681230947887938,87.4454545454545,75.38401253918492,57886.57280983121
4243,peta,30.302472243878253,32.0,1.16,9.75,13.681230947887936,86.39999999999992,74.4827586206896,57886.5728098312
4244,peta,30.302472243878253,32.10000000000002,1.16,9.75,13.681230947887935,86.13333333333334,74.25287356321842,57886.5728098312
4245,peta,30.302472243878253,32.19999999999999,1.16,9.75,13.681230947887936,85.51999999999997,73.72413793103446,57886.5728098312
4246,peta,30.302472243878253,32.30000000000001,1.16,9.75,13.681230947887936,84.70000000000005,73.01724137931039,57886.5728098312
4247,peta,30.302472243878253,32.39999999999998,1.16,9.75,13.681230947887936,84.30000000000003,72.67241379310347,57886.5728098312
4248,peta,30.302472243878253,32.5,1.16,9.75,13.681230947887936,83.47777777777772,71.963601532567,57886.5728098312
4249,peta,30.302472243878253,32.60000000000002,1.16,9.75,13.681230947887936,83.44000000000001,71.93103448275863,57886.5728098312
4250,peta,30.302472243878253,32.69999999999999,1.16,9.75,13.681230947887935,82.48749999999994,71.1099137931034,57886.5728098312
4251,peta,30.302472243878253,32.80000000000001,1.16,9.75,13.681230947887936,82.33125000000001,70.9752155172414,57886.5728098312
4252,peta,30.302472243878253,32.89999999999998,1.16,9.75,13.681230947887936,81.58387096774193,70.3309232480534,57886.5728098312
4253,peta,30.302472243878253,33.0,1.16,9.75,13.681230947887938,80.79999999999995,69.65517241379307,57886.57280983121
4254,peta,30.302472243878253,33.10000000000002,1.16,9.75,13.681230947887935,80.7166666666667,69.58333333333336,57886.5728098312
4255,peta,30.302472243878253,33.19999999999999,1.16,9.75,13.681230947887936,79.84999999999997,68.83620689655169,57886.5728098312
4256,peta,30.302472243878253,33.30000000000001,1.16,9.75,13.681230947887936,79.29999999999994,68.3620689655172,57886.5728098312
4257,peta,30.302472243878253,33.39999999999998,1.16,9.75,13.681230947887936,78.90000000000003,68.01724137931038,57886.5728098312
4258,peta,30.302472243878253,33.5,1.16,9.75,13.681230947887936,78.77777777777777,67.91187739463601,57886.5728098312
4259,peta,30.302472243878253,33.60000000000002,1.16,9.75,13.681230947887936,78.6625,67.8125,57886.5728098312
4260,peta,30.302472243878253,33.80000000000001,1.16,9.75,13.681230947887936,77.12307692307691,66.48541114058355,57886.5728098312
4261,peta,30.302472243878253,33.89999999999998,1.16,9.75,13.681230947887935,77.09999999999998,66.4655172413793,57886.5728098312
4262,peta,30.302472243878253,34.0,1.16,9.75,13.681230947887936,76.37499999999999,65.8405172413793,57886.5728098312
